评论内容,匹配的长文本
信号丢失,飞机到了一直没有时间试飞。到海边玩了一次，从试飞开始飞行了了好几个项目。总体非常满意。首先，飞行非常平稳，抗风能力很好，海边风大能平稳悬停，拍摄效果很好。飞出超视线，信号丢失平安飞回。跟随拍摄，没有丢失目标。
信号丢失,操作难易：比较容量。灵敏度：佳。稳定性：好。做工质量：一般。外形外观：漂亮。其他特色：图传信号丢失即自动返航，安全性高。做工一般，乍一看像是玩具，上手很轻。开机后GPS找到信号稍久（表现为返航点更新稍慢），还有就是遥控器移动后（人拿着遥控器走一段距离后，返航点不会自动刷新）要手动刷新返航点。画质与御2还是有差距的。
信号丢失,操作难易：简单灵敏度：2km内无遮挡十分跟手2.5km后开始信号丢失稳定性：差，三级风以上稳定性骤降外形外观：方便小巧
信号丢失,差的很，没有多远信号丢失了，飞机现在也丢失的状态
信号丢失,三包飞行期间，信号丢失，并没有原路返航，在距离100米处炸机落地。作为大疆无人机多年玩家，实在失望。一直相信大疆的品质与服务，这次大失所望。与官方沟通，要求鉴定，客服只是重复说炸机原因为非人为操控导致，如果退，也只能给退无人机，可我买的是进阶套装，还有相应服务和配件是不能解决的，无奈之下确实也给换了新机。但过了三包期，就是只修不换。机器本身什么问题，我不知道，信号丢失之后，数据没有记录，也不返航，风险实在太高了。
信号丢失,普通档当玩具玩没问题，但是飞几次就腻了，画面摇摇晃晃的没法拍视频。M档对比1代太不耐炸了，应该跟桨叶正置的设计有关，上一代是反置，而且有坚固独立的保护圈。这代桨叶支架包括机身都很脆弱。我离飞机50米远的距离试飞M档正向翻滚，当时在公园的草地，飞机落下时眼镜显示无图传信号了，大概就4，5米的高度落下来，结果就摔黑屏了，连接不上飞机。邮寄到大疆报修，GPS和主板摔坏，大疆坚称没有出现信号丢失问题，维修费太高只能走随心换。建议M档玩家慎拍：1代的死亡掉头死亡翻滚等没有解决，耐炸性却又大幅降低！
信号丢失,第一视角飞行体验很爽。运动模式下速度已经够快了。模拟器练好了再飞手动模式。注意一定要远离信号塔，否则容易遥控器信号丢失，幸亏大疆fpv有自动返航功能，吓了一身冷汗。三块电池是必须的，运动模式下大概可以飞6分钟左右，普通模式下可以飞15分钟左右。
信号丢失,物流速度奇快，第一天晚上九点多下单，第二天中午就到了，第二天晚上加班太迟回来，第三天上午才激活首飞。图传距离感觉没比我去年买的mini好多少，距离两公里多就提示遥控信号丢失。眼镜耗电速度好快啊。套装没赠送收纳包也很不方便，尤其是出门去玩。其他再飞几天再做评价
信号丢失,收货第一天，在家天台试飞一下，结果飞了不够100米，说信号丢失，一直停在空中，控制不到返航，很不容易终于控制返航，在返航途中，突然说电量过低，原地降落，结果降落到别人的家里面了。什么低电量返航，什么控制距离4公里。全都是谎话。还以为大疆大品牌会有好的体验。结果体验了一个超级废品。还卖这么贵？幸好不是在湖面直接降落，而且邻居跟体谅帮忙寻找，这9000块的飞机就这样打水漂了。实在太垃圾了，大疆在我心里面马上变成一个垃圾品牌。太差了
信号丢失,大疆御3C无人机是大疆推出的一款高性能无人机，它具有以下特点：1. 强大的性能：大疆御3C无人机采用了先进的飞行控制系统和导航技术，能够实现高精度的定位和稳定的飞行。它还配备了高性能的摄像头，能够拍摄出高质量的视频和照片。2. 丰富的功能：大疆御3C无人机支持多种飞行模式，包括手动模式、自动模式、兴趣点环绕模式等，能够满足不同用户的需求。此外，它还支持实时图传、自动追踪、一键起飞/降落等功能，操作非常简单。3. 优秀的可靠性：大疆御3C无人机采用了高品质的材料和制造工艺，具有出色的耐用性和抗风能力。它还配备了多重安全保护功能，如低电量自动返航、遥控信号丢失保护等，能够确保无人机在各种环境下的安全飞行。4. 高性价比：相对于同类产品，大疆御3C无人机的价格更加亲民，但它的性能和质量却丝毫不逊色。这使得它成为了许多摄影爱好者和无人机爱好者的首选。总的来说，大疆御3C无人机是一款性能强大、功能丰富、可靠性高、性价比高的无人机，非常适合摄影、航拍、测绘等领域使用。
信号丢失,容易上手，没有买4g模块，飞出去2km左右就信号丢失，自动返航了。赠品很赞
信号丢失,这个无人机还是比较有用，飞的120米高就不能再高了。图像比较清晰。但不能飞太远 飞到一个公里左右，就老是提示信号丢失了，自动返航。
信号丢失,想问下信号丢失自动返航后，像视频这种情况，可以按紧急悬停吗？会听指令吗？
信号丢失,有随心换是大爷，没随心换是韭菜，当年随心换到期的时候，你会发现机器故障率提高了，比如没飞多远就信号丢失
信号丢失,飞行环境一点都没描述，信号丢失自己没原因吗我就想知道自己先飞到丢失信号导致炸鸡，谁理你啊？
信号丢失,一般不存在信号丢失的啊，也不知道你是怎么弄的，技术上问题有可能是你操作不当，抗风性的话，最大风我没试过，但3、4级风的情况下也基本没事。也很平稳。就是飞得慢。
信号丢失,一样的哈，我的自己信号丢失也没有返航，大疆说我自己飞到水里面了
信号丢失之后,三包飞行期间，信号丢失，并没有原路返航，在距离100米处炸机落地。作为大疆无人机多年玩家，实在失望。一直相信大疆的品质与服务，这次大失所望。与官方沟通，要求鉴定，客服只是重复说炸机原因为非人为操控导致，如果退，也只能给退无人机，可我买的是进阶套装，还有相应服务和配件是不能解决的，无奈之下确实也给换了新机。但过了三包期，就是只修不换。机器本身什么问题，我不知道，信号丢失之后，数据没有记录，也不返航，风险实在太高了。
大疆坚称没有出现信号丢失问题,普通档当玩具玩没问题，但是飞几次就腻了，画面摇摇晃晃的没法拍视频。M档对比1代太不耐炸了，应该跟桨叶正置的设计有关，上一代是反置，而且有坚固独立的保护圈。这代桨叶支架包括机身都很脆弱。我离飞机50米远的距离试飞M档正向翻滚，当时在公园的草地，飞机落下时眼镜显示无图传信号了，大概就4，5米的高度落下来，结果就摔黑屏了，连接不上飞机。邮寄到大疆报修，GPS和主板摔坏，大疆坚称没有出现信号丢失问题，维修费太高只能走随心换。建议M档玩家慎拍：1代的死亡掉头死亡翻滚等没有解决，耐炸性却又大幅降低！
丢失信号会自动返航,先说说缺点吧，录制的视频不能直接上传手机，需要sd卡，不过手机连着飞然后用录屏功能应该就行了。另外摄像头不能缩放，不过这不算正式的航拍机能理解。其他的话m档太高段位，用s档也完全够了，27m/s相当于97km/h，这速度追拍普通汽车也够了。头戴式vr眼镜体验第一人称视角超高速飞行，电池续航的话想多飞会还是建议买昌飞包的！机体灯光和外形都很酷炫，场地空旷下飞1.2km外完全ok，丢失信号会自动返航。
丢失信号会自动返航,操作难易：操作非常简单！按照提示做就行了灵敏度：很灵敏 完全按照指令飞行稳定性：比较稳，在小风天也能飞做工质量：还是很精致的，虽然轻巧但是一点儿也不廉价外形外观：好看其他特色：丢失信号会自动返航很赞
有时候会丢失信号,买了穿越机，看上去有点大，声音还是比较大的。戴上头盔，能换个第一人称视角，这个还是蛮好的，能看到原来看不到的地方。不过有点大，东西也比较多，不够轻便，这可能是个问题。续航也差了一点，有时间飞出去容易掉图像，也可能我飞的地方不全是野外，有时候会丢失信号。还好飞机能自己回来，要不然就不知道啥情况了。
800m容易丢失图传信号,城市和公园飞行大概500~800m容易丢失图传信号，无信号后飞行会悬停并自动开始返航，航拍画面一般，产品有点鸡肋，既不能实现比较好的航拍效果，也不能实现大胆飞行类似涵道机的穿越，也没有类似大疆的一键短片或大师镜头那些功能，宣传的没有体验的效果好。
说信号丢失,收货第一天，在家天台试飞一下，结果飞了不够100米，说信号丢失，一直停在空中，控制不到返航，很不容易终于控制返航，在返航途中，突然说电量过低，原地降落，结果降落到别人的家里面了。什么低电量返航，什么控制距离4公里。全都是谎话。还以为大疆大品牌会有好的体验。结果体验了一个超级废品。还卖这么贵？幸好不是在湖面直接降落，而且邻居跟体谅帮忙寻找，这9000块的飞机就这样打水漂了。实在太垃圾了，大疆在我心里面马上变成一个垃圾品牌。太差了
